date,time,team1Name,team1Points,team2Name,team2Points,venue,teamType,referee,totalPoints,result,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
13/Nov/2022,12:15,Saracens,45,Northampton,39,StoneX Stadium,home,Andrew Jackson,84,W,N,12,Sun,Nov,2022,2022-23,1,2,6,6,1,0,5,4,2,0
13/Nov/2022,12:15,Northampton,39,Saracens,45,StoneX Stadium,away,Andrew Jackson,84,L,N,12,Sun,Nov,2022,2022-23,2,1,5,4,2,0,6,6,1,0
25/Nov/2022,19:45,Harlequins,21,Gloucester,12,Twickenham Stoop,home,Wayne Barnes,33,W,N,19,Fri,Nov,2022,2022-23,0,0,3,3,0,0,2,1,0,0
25/Nov/2022,19:45,Gloucester,12,Harlequins,21,Twickenham Stoop,away,Wayne Barnes,33,L,N,19,Fri,Nov,2022,2022-23,0,0,2,1,0,0,3,3,0,0
25/Nov/2022,19:45,Newcastle,24,Exeter,21,Kingston Park,home,Karl Dickson,45,W,N,19,Fri,Nov,2022,2022-23,0,1,3,3,1,0,3,3,0,0
25/Nov/2022,19:45,Exeter,21,Newcastle,24,Kingston Park,away,Karl Dickson,45,L,N,19,Fri,Nov,2022,2022-23,1,0,3,3,0,0,3,3,1,0
26/Nov/2022,13:00,Sale,25,Bristol,20,AJ Bell Stadium,home,Adam Leal,45,W,N,13,Sat,Nov,2022,2022-23,0,1,3,2,2,0,2,2,2,0
26/Nov/2022,13:00,Bristol,20,Sale,25,AJ Bell Stadium,away,Adam Leal,45,L,N,13,Sat,Nov,2022,2022-23,1,0,2,2,2,0,3,2,2,0
27/Nov/2022,15:00,Leicester,33,London Irish,31,Welford Road,home,Anthony Woodthorpe,64,W,N,15,Sun,Nov,2022,2022-23,1,2,5,4,0,0,5,2,0,0
27/Nov/2022,15:00,London Irish,31,Leicester,33,Welford Road,away,Anthony Woodthorpe,64,L,N,15,Sun,Nov,2022,2022-23,2,1,5,2,0,0,5,4,0,0
02/Dec/2022,19:45,Bath,13,Harlequins,19,Recreation Ground,home,Andrew Brace,32,L,N,19,Fri,Dec,2022,2022-23,1,0,1,1,2,0,3,2,0,0
02/Dec/2022,19:45,Harlequins,19,Bath,13,Recreation Ground,away,Andrew Brace,32,W,N,19,Fri,Dec,2022,2022-23,0,1,3,2,0,0,1,1,2,0
03/Dec/2022,15:00,London Irish,39,Newcastle,17,Gtech Community Stadium,home,Wayne Barnes,56,W,N,15,Sat,Dec,2022,2022-23,1,0,5,4,2,0,2,2,1,0
