,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason
59,27/Dec/2010,15:00,Leicester Tigers,54,Sale Sharks,21,Welford Road,N/A,75,H,N,Dec,2010,2010-11,25.53,20.8,46.33,24.03,23.75,23.46,26.91,19.75,18.05,18.07,19.99,43.78,41.8,41.53,24.33,37.0,29.69,17.31,16.83,17.82
60,02/Jan/2011,14:45,Wasps,33,Newcastle Falcons,16,Adams Park,N/A,49,H,N,Jan,2011,2010-11,25.53,20.8,46.33,23.57,23.01,23.46,27.76,19.12,18.59,18.07,17.24,42.69,41.59,41.53,24.43,23.64,25.82,16.83,14.42,14.64
61,01/Jan/2011,15:00,Northampton Saints,13,Harlequins,16,Franklin’s Gardens,N/A,29,A,N,Jan,2011,2010-11,25.53,20.8,46.33,23.57,23.01,23.46,27.63,19.12,18.59,18.07,22.21,42.69,41.59,41.53,19.4,27.92,29.18,21.86,19.5,18.27
62,02/Jan/2011,15:00,Sale Sharks,28,Saracens,22,Edgeley Park,N/A,50,H,N,Jan,2011,2010-11,25.53,20.8,46.33,23.57,23.01,23.46,24.15,19.12,18.59,18.07,24.17,42.69,41.59,41.53,27.91,21.62,21.45,23.3,23.38,20.83
63,01/Jan/2011,15:00,Leeds Carnegie,15,Gloucester,13,Headingley,N/A,28,H,N,Jan,2011,2010-11,25.53,20.8,46.33,23.57,23.01,23.46,12.73,19.12,18.59,18.07,20.71,42.69,41.59,41.53,15.0,14.14,12.73,17.91,18.46,16.67
64,02/Jan/2011,16:15,Exeter Chiefs,15,Leicester Tigers,22,Sandy Park,N/A,37,A,N,Jan,2011,2010-11,25.53,20.8,46.33,23.57,23.01,23.46,27.71,19.12,18.59,18.07,21.65,42.69,41.59,41.53,17.12,18.0,18.09,15.89,24.92,21.55
65,01/Jan/2011,15:00,London Irish,24,Bath,25,Madejski Stadium,N/A,49,A,N,Jan,2011,2010-11,25.53,20.8,46.33,23.57,23.01,23.46,24.29,19.12,18.59,18.07,20.11,42.69,41.59,41.53,24.0,26.67,26.82,19.77,17.62,18.82
66,08/Jan/2011,15:00,Harlequins,17,Wasps,10,Twickenham Stoop,N/A,27,H,N,Jan,2011,2010-11,25.53,20.8,46.33,23.57,23.01,23.46,26.66,19.12,18.59,18.07,22.14,42.69,41.59,41.53,27.0,27.45,25.55,22.5,11.55,12.82
67,09/Jan/2011,15:00,Saracens,12,London Irish,6,Vicarage Road,N/A,18,H,N,Jan,2011,2010-11,25.53,20.8,46.33,23.57,23.01,23.46,31.18,19.12,18.59,18.07,18.11,42.69,41.59,41.53,25.1,21.64,22.33,13.22,19.9,20.73
68,08/Jan/2011,15:00,Leicester Tigers,27,Northampton Saints,16,Welford Road,N/A,43,H,N,Jan,2011,2010-11,25.53,20.8,46.33,23.57,23.01,23.46,26.91,19.12,18.59,18.07,22.09,42.69,41.59,41.53,25.08,24.08,29.69,24.8,17.14,17.92
69,08/Jan/2011,15:00,Gloucester,37,Exeter Chiefs,23,Kingsholm,N/A,60,H,N,Jan,2011,2010-11,25.53,20.8,46.33,23.57,23.01,23.46,26.32,19.12,18.59,18.07,24.01,42.69,41.59,41.53,23.67,31.5,30.73,18.77,20.83,20.82
70,07/Jan/2011,19:45,Newcastle Falcons,19,Sale Sharks,19,Kingston Park,N/A,38,D,N,Jan,2011,2010-11,25.53,20.8,46.33,23.57,23.01,23.46,18.92,19.12,18.59,18.07,19.99,42.69,41.59,41.53,20.08,18.38,18.09,19.55,20.3,17.82
71,08/Jan/2011,14:15,Bath,16,Leeds Carnegie,13,Recreation Ground,N/A,29,H,N,Jan,2011,2010-11,25.53,20.8,46.33,23.57,23.01,23.46,24.21,19.12,18.59,18.07,15.91,42.69,41.59,41.53,26.43,22.55,20.0,13.0,16.17,15.91
72,12/Feb/2011,12:30,London Irish,23,Newcastle Falcons,14,Madejski Stadium,N/A,37,H,N,Feb,2011,2010-11,25.53,20.8,46.33,24.06,23.01,23.46,24.29,19.15,18.59,18.07,17.24,43.21,41.59,41.53,21.93,26.67,26.82,15.47,14.42,14.64
73,27/Feb/2011,17:30,Leeds Carnegie,5,Newcastle Falcons,22,Headingley,N/A,27,A,N,Feb,2011,2010-11,25.53,20.8,46.33,24.06,23.01,23.46,12.73,19.15,18.59,18.07,17.24,43.21,41.59,41.53,7.0,14.14,12.73,15.47,14.42,14.64
74,26/Feb/2011,15:00,London Irish,15,Harlequins,9,Madejski Stadium,N/A,24,H,N,Feb,2011,2010-11,25.53,20.8,46.33,24.06,23.01,23.46,24.29,19.15,18.59,18.07,22.21,43.21,41.59,41.53,21.93,26.67,26.82,17.41,19.5,18.27
75,12/Feb/2011,15:00,Exeter Chiefs,20,Harlequins,6,Sandy Park,N/A,26,H,N,Feb,2011,2010-11,25.53,20.8,46.33,24.06,23.01,23.46,27.71,19.15,18.59,18.07,22.21,43.21,41.59,41.53,25.19,18.0,18.09,17.41,19.5,18.27
