,date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,hour,day,month,year,season,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals,avgLast5Scores,avgLast5ScoresAgainst,avgLast5Bps,avgLast5BpsAgainst,avgLast5Tries,avgLast5Conversions,avgLast5Penalties,avgLast5DropGoals,avgLast5TriesAgainst,avgLast5ConversionsAgainst,avgLast5PenaltiesAgainst,avgLast5DropGoalsAgainst,team1Code,team2Code,monthCode,venueCode,dayCode,refereeCode,seasonCode,targetCode
248,2015-05-09,15:15,Wasps,21,1,Leicester,26,0,Ricoh Arena,Wayne Barnes,47,A,15,Sat,May,2015,2014-15,0,0,7,0,3,1,3,0,31.0,28.2,0.4,0.4,3.8,3.0,2.0,0.0,3.0,1.8,3.0,0.2,11,4,5,8,1,11,0,0
242,2015-05-09,14:00,Sale,34,1,Newcastle,28,1,AJ Bell Stadium,Matthew Carley,62,H,14,Sat,May,2015,2014-15,5,3,1,0,3,2,3,0,16.0,19.2,0.4,0.2,1.8,0.8,1.8,0.0,2.0,1.0,2.4,0.0,9,7,5,0,1,8,0,1
247,2015-05-09,15:15,London Welsh,0,0,Northampton,46,1,Franklin's Gardens,Andrew Small,46,H,15,Sat,May,2015,2014-15,0,0,0,0,6,5,2,0,15.0,46.2,0.0,1.0,2.2,1.4,0.4,0.0,7.0,5.0,0.4,0.0,6,8,5,2,1,0,0,1
246,2015-05-09,15:15,Northampton,46,1,London Welsh,0,0,Franklin's Gardens,Andrew Small,46,H,15,Sat,May,2015,2014-15,6,5,2,0,0,0,0,0,27.4,23.4,0.2,0.4,3.2,1.8,2.6,0.0,2.2,2.0,2.8,0.0,8,6,5,2,1,0,0,1
251,2015-05-10,14:00,Exeter,24,0,Saracens,20,1,Allianz Park,JP Doyle,44,A,14,Sun,May,2015,2014-15,3,3,1,0,2,2,2,0,31.6,19.2,0.6,0.0,3.4,2.8,2.8,0.2,1.8,1.2,2.6,0.0,1,10,5,1,2,6,0,0
250,2015-05-10,14:00,Saracens,20,1,Exeter,24,0,Allianz Park,JP Doyle,44,A,14,Sun,May,2015,2014-15,2,2,2,0,3,3,1,0,26.4,15.8,0.4,0.2,2.6,2.2,3.0,0.0,1.4,0.8,2.4,0.0,10,1,5,1,2,6,0,0
255,2015-05-16,15:30,Sale,16,0,Exeter,44,1,Sandy Park,Wayne Barnes,60,H,15,Sat,May,2015,2014-15,2,0,2,0,7,3,1,0,21.2,19.2,0.6,0.4,2.6,1.4,1.8,0.0,2.0,1.0,2.4,0.0,9,1,5,9,1,11,0,1
263,2015-05-16,15:30,Harlequins,21,0,Newcastle,37,1,Kingston Park,Thomas Foley,58,H,15,Sat,May,2015,2014-15,2,1,3,0,5,3,2,0,24.0,27.6,0.4,0.8,2.6,1.0,3.0,0.0,3.2,2.2,2.4,0.0,3,7,5,5,1,9,0,1
252,2015-05-16,15:30,Bath,50,1,Gloucester,30,1,The Recreation Ground,Dean Richards,80,H,15,Sat,May,2015,2014-15,7,6,1,0,4,2,2,0,28.0,16.0,0.6,0.2,3.4,2.2,2.2,0.0,1.6,1.0,2.0,0.0,0,2,5,12,1,2,0,1
257,2015-05-16,15:30,Northampton,14,0,Leicester,22,0,Welford Road,Matthew Carley,36,H,15,Sat,May,2015,2014-15,1,0,3,0,2,0,4,0,33.2,20.8,0.4,0.2,3.8,2.6,3.0,0.0,2.0,1.8,2.4,0.0,8,4,5,15,1,8,0,1
258,2015-05-16,15:30,London Irish,40,1,Wasps,40,1,Madejski Stadium,JP Doyle,80,D,15,Sat,May,2015,2014-15,5,3,3,0,5,3,3,0,19.6,29.6,0.2,0.6,2.4,1.4,1.6,0.0,3.0,1.6,3.8,0.0,5,11,5,6,1,6,0,0
256,2015-05-16,15:30,Leicester,22,0,Northampton,14,0,Welford Road,Matthew Carley,36,H,15,Sat,May,2015,2014-15,2,0,4,0,1,0,3,0,22.2,18.0,0.2,0.6,2.2,1.4,2.8,0.0,1.8,1.2,2.2,0.0,4,8,5,15,1,8,0,1
253,2015-05-16,15:30,Gloucester,30,1,Bath,50,1,The Recreation Ground,Dean Richards,80,H,15,Sat,May,2015,2014-15,4,2,2,0,7,6,1,0,28.4,27.6,0.4,0.4,2.8,1.8,3.6,0.0,2.8,2.0,3.2,0.0,2,0,5,12,1,2,0,1
260,2015-05-16,15:30,London Welsh,17,0,Saracens,68,1,Kassam Stadium,Luke Pearce,85,A,15,Sat,May,2015,2014-15,2,2,1,0,10,9,0,0,12.6,45.4,0.0,1.0,1.8,1.2,0.4,0.0,6.6,5.0,0.8,0.0,6,10,5,3,1,7,0,0
259,2015-05-16,15:30,Wasps,40,1,London Irish,40,1,Madejski Stadium,JP Doyle,80,D,15,Sat,May,2015,2014-15,5,3,3,0,5,3,3,0,28.8,29.2,0.4,0.4,2.8,2.6,3.2,0.0,3.2,1.8,3.0,0.2,11,5,5,6,1,6,0,0
