date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,extraTime,hour,day,month,year,season,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
03-Jan-15,16:30,Exeter,25,1,Gloucester,26,0,Sandy Park,Andrew Small,51,A,N,16,Sat,Jan,2015,2014-15,3,2,2,0,2,2,3,1
03-Jan-15,16:30,Gloucester,26,0,Exeter,25,1,Sandy Park,Andrew Small,51,A,N,16,Sat,Jan,2015,2014-15,2,2,3,1,3,2,2,0
04-Jan-15,14:00,Leicester,17,0,Bath,8,0,Welford Road,Matthew Carley,25,H,N,14,Sun,Jan,2015,2014-15,1,0,4,0,1,0,1,0
04-Jan-15,14:00,Bath,8,0,Leicester,17,0,Welford Road,Matthew Carley,25,H,N,14,Sun,Jan,2015,2014-15,1,0,1,0,1,0,4,0
04-Jan-15,14:00,Wasps,41,1,Sale,16,0,Ricoh Arena,Greg Garner,57,H,N,14,Sun,Jan,2015,2014-15,5,5,1,1,1,1,3,0
04-Jan-15,14:00,Sale,16,0,Wasps,41,1,Ricoh Arena,Greg Garner,57,H,N,14,Sun,Jan,2015,2014-15,1,1,3,0,5,5,1,1
04-Jan-15,14:30,London Welsh,13,0,Harlequins,24,1,Kassam Stadium,JP Doyle,37,A,N,14,Sun,Jan,2015,2014-15,1,1,2,0,4,2,0,0
04-Jan-15,14:30,Harlequins,24,1,London Welsh,13,0,Kassam Stadium,JP Doyle,37,A,N,14,Sun,Jan,2015,2014-15,4,2,0,0,1,1,2,0
09-Jan-15,19:45,Gloucester,24,0,Saracens,23,1,Kingsholm,JP Doyle,47,H,N,19,Fri,Jan,2015,2014-15,2,1,4,0,3,1,2,0
09-Jan-15,19:45,Saracens,23,1,Gloucester,24,0,Kingsholm,JP Doyle,47,H,N,19,Fri,Jan,2015,2014-15,3,1,2,0,2,1,4,0
10-Jan-15,14:00,Sale,20,0,Northampton,7,0,AJ Bell Stadium,Matthew Carley,27,H,N,14,Sat,Jan,2015,2014-15,2,2,2,0,1,1,0,0
10-Jan-15,14:00,Northampton,7,0,Sale,20,0,AJ Bell Stadium,Matthew Carley,27,H,N,14,Sat,Jan,2015,2014-15,1,1,0,0,2,2,2,0
10-Jan-15,15:00,Bath,39,1,Wasps,26,1,The Recreation Ground,Andrew Small,65,H,N,15,Sat,Jan,2015,2014-15,5,4,2,0,4,3,0,0
10-Jan-15,15:00,Wasps,26,1,Bath,39,1,The Recreation Ground,Andrew Small,65,H,N,15,Sat,Jan,2015,2014-15,4,3,0,0,5,4,2,0
